"experiment","ensemble","model","year","TXx"
"historical","r12i1p1f1","CanESM5",1955,78.5934500000001
"historical","r12i1p1f1","CanESM5",1956,78.394154
"historical","r12i1p1f1","CanESM5",1957,78.116306
"historical","r12i1p1f1","CanESM5",1958,78.8282240000001
"historical","r12i1p1f1","CanESM5",1959,76.390034
"historical","r12i1p1f1","CanESM5",1960,75.3215540000001
"historical","r12i1p1f1","CanESM5",1961,88.293164
"historical","r12i1p1f1","CanESM5",1962,82.5256400000001
"historical","r12i1p1f1","CanESM5",1963,84.616592
"historical","r12i1p1f1","CanESM5",1964,89.47436
"historical","r12i1p1f1","CanESM5",1965,82.154714
"historical","r12i1p1f1","CanESM5",1966,79.154636
"historical","r12i1p1f1","CanESM5",1967,79.64231
"historical","r12i1p1f1","CanESM5",1968,84.0167960000001
"historical","r12i1p1f1","CanESM5",1969,73.94558
"historical","r12i1p1f1","CanESM5",1970,82.981544
"historical","r12i1p1f1","CanESM5",1971,80.496608
"historical","r12i1p1f1","CanESM5",1972,82.487336
"historical","r12i1p1f1","CanESM5",1973,78.5562080000001
"historical","r12i1p1f1","CanESM5",1974,85.969832
"historical","r12i1p1f1","CanESM5",1975,77.112212
"historical","r12i1p1f1","CanESM5",1976,81.1829300000001
"historical","r12i1p1f1","CanESM5",1977,81.4683560000001
"historical","r12i1p1f1","CanESM5",1978,87.7639460000001
"historical","r12i1p1f1","CanESM5",1979,81.30965
"historical","r12i1p1f1","CanESM5",1980,77.1827000000001
"historical","r12i1p1f1","CanESM5",1981,85.9084160000001
"historical","r12i1p1f1","CanESM5",1982,83.1787520000001
"historical","r12i1p1f1","CanESM5",1983,80.3868080000001
"historical","r12i1p1f1","CanESM5",1984,85.085816
"historical","r12i1p1f1","CanESM5",1985,92.49728
"historical","r12i1p1f1","CanESM5",1986,86.324972
"historical","r12i1p1f1","CanESM5",1987,89.9445200000001
"historical","r12i1p1f1","CanESM5",1988,87.92303
"historical","r12i1p1f1","CanESM5",1989,81.3381080000001
"historical","r12i1p1f1","CanESM5",1990,86.1472400000001
